Title,Author,Publish Year,Edition Count,Subject,Work ID,Book Age,Publication Decade,Edition Category
Alice's Adventures in Wonderland,Lewis Carroll,1865,3547,Fantasy,/works/OL138052W,160,1860,High
The Wonderful Wizard of Oz,L. Frank Baum,1899,2049,Fantasy,/works/OL18417W,126,1890,High
Treasure Island,Robert Louis Stevenson,1880,1988,Fantasy,/works/OL24034W,145,1880,High
Gulliver's Travels,Jonathan Swift,1726,1810,Fantasy,/works/OL20600W,299,1720,High
A Midsummer Night's Dream,William Shakespeare,1600,1505,Fantasy,/works/OL259010W,425,1600,High
The Prince,Niccolò Machiavelli,1515,1407,Fantasy,/works/OL1089297W,510,1510,High
Through the Looking-Glass,Lewis Carroll,1865,1379,Fantasy,/works/OL151406W,160,1860,High
The Wind in the Willows,Kenneth Grahame,1908,1346,Fantasy,/works/OL28570037W,117,1900,High
Five Children and It,Edith Nesbit,1905,950,Fantasy,/works/OL99499W,120,1900,High
The Princess and the Goblin,George MacDonald,1872,750,Fantasy,/works/OL15449W,153,1870,High
The Lost World,Arthur Conan Doyle,1900,747,Fantasy,/works/OL262460W,125,1900,High
The Marvelous Land of Oz,L. Frank Baum,1904,724,Fantasy,/works/OL18396W,121,1900,High
Ozma of Oz,L. Frank Baum,1907,701,Fantasy,/works/OL18415W,118,1900,High
Le petit prince,Antoine de Saint-Exupéry,1943,688,Fantasy,/works/OL10263W,82,1940,High
The Emerald City of Oz,L. Frank Baum,1910,634,Fantasy,/works/OL18409W,115,1910,High
Dorothy and the Wizard in Oz,L. Frank Baum,1908,622,Fantasy,/works/OL18412W,117,1900,High
The Lost Princess of Oz,L. Frank Baum,1917,591,Fantasy,/works/OL18411W,108,1910,High
The Story of the Amulet,Edith Nesbit,1905,578,Fantasy,/works/OL407476W,120,1900,High
The Complete Life and Adventures of Santa Claus,L. Frank Baum,1902,560,Fantasy,/works/OL262358W,123,1900,High
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,1889,544,Fantasy,/works/OL151411W,136,1880,High
Nineteen Eighty-Four,George Orwell,1949,536,Fantasy,/works/OL1168083W,76,1940,High
The Road to Oz,L. Frank Baum,1909,533,Fantasy,/works/OL262390W,116,1900,High
The Sea Fairies,L. Frank Baum,1911,528,Fantasy,/works/OL262384W,114,1910,High
Baum's American Fairy Tales,L. Frank Baum,1901,514,Fantasy,/works/OL262341W,124,1900,High
Sky Island,L. Frank Baum,1912,510,Fantasy,/works/OL262385W,113,1910,High
The Scarecrow of Oz,L. Frank Baum,1915,503,Fantasy,/works/OL262352W,110,1910,High
The Patchwork Girl of Oz,L. Frank Baum,1913,496,Fantasy,/works/OL18405W,112,1910,Medium
The Magic of Oz,L. Frank Baum,1919,495,Fantasy,/works/OL262380W,106,1910,Medium
Tik-Tok of Oz,L. Frank Baum,1914,490,Fantasy,/works/OL18414W,111,1910,Medium
Rinkitink in Oz,L. Frank Baum,1916,488,Fantasy,/works/OL262376W,109,1910,Medium
The Hobbit,J.R.R. Tolkien,1703,481,Fantasy,/works/OL27482W,322,1700,Medium
The Enchanted Castle,Edith Nesbit,1907,478,Fantasy,/works/OL99541W,118,1900,Medium
Phantastes,George MacDonald,1850,472,Fantasy,/works/OL15450W,175,1850,Medium
The Tin Woodman of Oz,L. Frank Baum,1918,461,Fantasy,/works/OL262381W,107,1910,Medium
A Princess of Mars,Edgar Rice Burroughs,1912,456,Fantasy,/works/OL1418187W,113,1910,Medium
Glinda of Oz,L. Frank Baum,1920,454,Fantasy,/works/OL262391W,105,1920,Medium
The Magic City,Edith Nesbit,1910,445,Fantasy,/works/OL99535W,115,1910,Medium
Peter Pan,J. M. Barrie,1911,441,Fantasy,/works/OL462007W,114,1910,Medium
The Phoenix and the Carpet,Edith Nesbit,1903,438,Fantasy,/works/OL99539W,122,1900,Medium
Le avventure di Pinocchio,Carlo Collodi,1883,431,Fantasy,/works/OL1527356W,142,1880,Medium
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,1872,426,Fantasy,/works/OL1100007W,153,1870,Medium
Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,398,Fantasy,/works/OL82563W,28,1990,Medium
The description of a new world,"Margaret Cavendish, Duchess of Newcastle",1666,361,Fantasy,/works/OL1112413W,359,1660,Medium
"News from nowhere, or, An epoch of rest, being some chapters from a utopian romance",William Morris,1890,347,Fantasy,/works/OL47721W,135,1890,Medium
